Wert,Anzahl
Eneas,535
Turnus,216
Lavinia,143
Latinus,96
Dido,80
Sohn Pallas,78
Königin,63
Camilla,53
Evander,41
Venus,38
Ascanius,30
Sibylle,28
Anchises,22
Anna,19
Nisus,15
Cupido,13
Mezentius,13
Tyrreus,12
Eurialus,12
Vulcanus,11
Menelaus,10
Lausus,10
Ulixes,9
Messapus,9
Volzan,9
Amor,9
Drances,8
Tarcun,8
Geometras,8
Priamus,7
Paris,7
Juno,7
Aventinus,7
Helena,6
Vergil,6
Romulus,6
Silviane,6
Hercules,6
Sychaeus,5
Pallas,5
Charon,5
Rhadamanthus,5
Silvius,5
Bitias,5
Dardanus,4
Ylionix,4
Silvius Eneas,4
Licus,4
Pandaraus,4
Kaiser Friedrich,4
Aeolus,3
Diana,3
Pluto,3
Cerberus,3
Zerberus,3
Helenor,3
Arruns,3
Chloreus,3
Neptanabus,3
Julius Caesar,3
Fortuna,2
Phoebus,2
Orpheus,2
Hector,2
Tityos,2
NK Eneas,2
Neptun,2
Claudius,2
Mars,2
Arachne,2
Rhamnes,2
Lycomide,2
Oriolus,2
Carpide,2
Japyx,2
Vulcan,2
Heinrich von Veldeke,2
Hecuba,1
Prosperina,1
Prsoperina,1
Phocus,1
Adrastus,1
Polynices,1
Tydeus,1
Ypomedon,1
Patronopeus,1
Amphioras,1
Capaneus,1
Troilus,1
Antenor,1
Athamas,1
Tydides,1
Agamemnon,1
Achilles,1
Ajax,1
Prothesilaus,1
Tisiphone,1
Tantalus,1
Minos,1
Cacus,1
Sweher Romulus,1
Daunus,1
Larein,1
Flemin,1
Troas,1
Remus,1
Ascanius Julius,1
Octavianus,1
Kaiser Augustus,1
Jesus,1
Adam,1
