Wert,Anzahl
Eneas,414
hêrre,151
Troiaere,88
helt,30
maere,25
man,19
wîgant,18
sun,17
edel,16
rîche,13
künic,9
liep,8
herzoge,7
lustsam,7
vriunt,6
gast,5
balt,5
küene,5
wîs,4
milte,3
ungetriuwe,3
vater,3
vil,3
âne,3
wol,2
jungelinc,2
vartgenôz,2
Anchises,2
hêr,2
dëgen,2
unsaelec,2
boese,2
laster,2
schoene,2
starc,2
geloben,1
vertrîben,1
leidec,1
vremde,1
geselle,1
ellende,1
sëlp,1
übermüete,1
schifmüede,1
gezogen,1
lobebaere,1
saelec,1
mâc,1
wolgeborn,1
offenbaere,1
minnesaelec,1
zage,1
übel,1
wunt,1
lobesaelic,1
guot,1
müedinc,1
arm,1
gevröuwen,1
junc,1
niuwe,1
