Wert,Anzahl
edel,37
lustsam,32
maere,27
liep,26
junc,22
rîche,17
balt,14
schoene,13
küene,11
wol,10
vil,9
hêr,8
alt,8
wîs,7
von,5
guot,5
minne,4
wolgetân,4
künic,4
milte,3
arm,3
vrum,3
reine,3
geloben,2
Eneas,2
ungetriuwe,2
leidec,2
Anchises,2
übel,2
helle,2
lant,2
sëlp,2
lobebaere,2
Evander,2
unsaelec,2
boese,2
âne,2
laster,2
stolz,2
geborn,2
starc,2
junclich,1
wint,1
êrste,1
vertrîben,1
vremde,1
egeslich,1
kiusche,1
in,1
verlorn,1
hërzelôs,1
ellende,1
Volcâne,1
übermüete,1
wîc,1
schifmüede,1
gezogen,1
gemeit,1
saelec,1
swëster,1
genendec,1
unbescholten,1
snël,1
ungelückec,1
wolgeborn,1
offenbaere,1
holt,1
vrî,1
trût,1
wërt,1
ander,1
herte,1
hövesch,1
getuon,1
Troiaere,1
êwe,1
listec,1
vermëzzenlich,1
alsô,1
minnesaelec,1
gewaltec,1
keiser,1
eine,1
wunt,1
lobesaelic,1
gotleit,1
smide,1
ërnesthaft,1
tiure,1
gevröuwen,1
unnütze,1
niuwe,1
got,1
