Namer;Total mentions;Name mentions;Share of name mentions (%)
Genelûn;38;5;13
Ruolant;22;5;23
Blandscandîz;20;1;5
Marsilie;16;11;69
Olivier;11;3;27
Paligân;8;4;50
Turpîn;8;1;12
Johannes;7;0;0
Brechmundâ;5;3;60
Naimes;5;0;0
#Icalrions&Clariens;3;1;33
#haiden;3;1;33
Margarîz;3;2;67
Targîs;3;0;0
#Genelûnes_geslächte;2;0;0
Aldâ;2;1;50
Tirrich;2;0;0
Zernubele;2;1;50
#Engel;1;1;100
#Fürsten;1;0;0
#Suriân;1;0;0
#fürsten;1;0;0
Adalrôt;1;0;0
Algarich;1;1;100
Binabel;1;0;0
Joleun;1;0;0
Ogier;1;0;0
Oliboris;1;0;0
