Verse;Named figure;Left;Hit;Right
109.0;Ruolant;da was der;helt;"ruolant / unt oliuir der wigant ;"
146.0;Ruolant;do sprach der;helt;rovlant :
305.0;Ruolant;do nam der;helt;rovlant / sin horn in sine hant .
867.0;Ruolant;vnder  du chom der;helt;rovlant .
911.0;Ruolant;vf  spranc der;helt;"rovlant ;"
1140.0;Ruolant;vf  spranc der;helt;rovlant ,
1364.0;Ruolant;uf  spranc der;helt;rovlant ,
1985.0;Ruolant;genelun  sine truwe dare gab : / er geuuogte in ze handen / den;helt;rovlanden / unde andere sine genozze , / des swur er eide grozze , / unde oliuiren den snellen / unde andir ir gesellen :
3180.0;Ruolant;des erfrovte sich der;helt;guote .
3224.0;Ruolant;ia ne mag ich nicht dar zu gebenmaze , / daz ich da fuore name , /;helt;, daz ich dich tagelichen sehe . >
3290.0;Ruolant;uon sinen brusten uorne scain / ain trache uon golde , / sam uz im uaren scolde / di funchen fiures flammen / mit gesmelze bewallen , / daz gestaine also edele , / soz wol gezam deme;helede;.
3292.0;Ruolant;der helm hiez uenerant , / den der;helt;uf bant ,
3340.0;Ruolant;do chert der;helt;iunge / uf aine hohe der alben .
3369.0;Ruolant;do  frovte sich der;helt;"rovlant , / daz er der haiden samnunge uant ;"
3871.0;Ruolant;sprach der;helt;rovlant ,
3961.0;Ruolant;do  der;helt;rovlant / uf ainer hohe daz rechte eruant , / daz si sich in uieriu heten getailet :
4077.0;Ruolant;iz ist wol erhaben > , sprach der;helt;rovlant ,
4095.0;Ruolant;sprach der;helt;rovlant .
4172.0;Ruolant;do sprach der;helt;rovlant :
4195.0;Ruolant;daz ersach der;helt;rolant :
5352.0;Ruolant;wi wol er in erchante , / den;helt;rovlanten !
5586.0;Ruolant;do sprach der;helt;rovlant :
5650.0;Ruolant;ia gefrumte der;helt;guot / manige wunden fraissam .
5900.0;Ruolant;do sprach der;helt;rovlant :
6210.0;Ruolant;der mare;helt;rovlant :
6301.0;Ruolant;mit ellenthafter hant / ramte der;helt;rovlant
6317.0;Ruolant;do sin der;helt;"uermiste , / uil harte erbalc er sich ;"
6366.0;Ruolant;sprach der;helt;rovlant ,
6481.0;Ruolant;<;helt;, nu antlaze du mir , / daz min sele icht prinne !
6540.0;Ruolant;sprach der;helt;rovlant ,
6735.0;Ruolant;do gie der;helt;rovlant , / alle zwelfe er si uant :
6752.0;Ruolant;der;helt;uiel in ummacht .
6796.0;Ruolant;do enthilt sich der;helt;mare / unz im der haiden so nahen chom :
6892.0;Ruolant;des ist der;helt;rovlant / uon aller der christenheit geeret ,
