Wert,Anzahl
got,289
keiser,225
hêrre,221
Ruolant,175
künic,129
Genelûn,84
Marsilie,83
helt,77
Karl,53
Olivier,52
Turpîn,46
man,38
Mahomet,38
herzoge,33
Paligân,31
tiuvel,30
sun,29
truhtîn,28
bischof,27
Krist,19
geselle,16
dëgen,15
wîgant,14
heiden,14
nëve,14
schepfaere,12
alt,12
Naimes,12
Engelirs,10
Apollo,10
Blandscandîz,10
Tirrich,10
Anseîs,9
geist,9
voget,9
Gergers,8
David,8
Walther,8
Falsaron,8
Brechmundâ,8
Hatte,8
Gotefrit,7
Gergis,7
Targîs,7
küniginne,7
Samsôn,6
Ivo,6
Baldewîn,6
bruoder,6
Margarîz,6
vrouwe,6
Tervagant,6
Binabel,6
maere,5
oeheim,5
Otto,5
Zernubele,5
Adalrôt,5
Beringêr,5
Malprimes,5
Petrus,5
vater,5
grâve,4
deus,4
marcgrâve,4
Johannes,4
Oigir,4
rîche,4
Valdebrûn,4
vriunt,4
vâlant,4
Aldâ,4
Grandon,4
verrâtaere,4
bar,4
Engel,4
Gebewîn,4
êwart,3
erzebischof,3
Clargis,3
maget,3
Diebalt,3
vîant,3
wirt,3
Heinrich,3
Judas,3
Alrich,3
Gerhart,3
Eschermunt,3
Ludewîc,3
Maria,3
Richart,3
Regenbalt,3
Jocerans,3
karl,2
venre,2
name,2
Michael,2
Stramariz,2
heilaere,2
Milun,2
snël,2
bote,2
Algafiles,2
Ilmar,2
Ekerîch,2
Cursabile,2
swëster,2
Dionisius,2
Malprimis,2
Ciciron,2
Amurafel,2
Amarezur,2
Herodes,2
Estorgant,2
Gideon,2
Alfric,2
Abysse,2
guot,2
êre,2
hergeselle,2
Pegôn,2
admirât,2
der,2
Herman,2
Haimunt,2
Joleun,2
arm,2
Pipin,1
Wernes,1
Anshelm,1
meisterschaft,1
Josias,1
warte,1
Estropiz,1
Priamur,1
Baiziel,1
Matheus,1
Jomel,1
Salomon,1
Ingram,1
Michaeli,1
Dierrîch,1
starc,1
Wido,1
Ritschart,1
Ansgir,1
Reimunt,1
veste,1
houbet,1
bluot,1
stiefvater,1
Basanzi,1
Basilie,1
geswige,1
Madelgêr,1
Rômaere,1
weise,1
Orphalis,1
Glibon,1
Gersîz,1
Plangirz,1
râtgëbe,1
Oliboris,1
Ilaz,1
Antelun,1
Maglirte,1
Mars,1
Jupiter,1
dritte,1
Saturn,1
Ägidius,1
knëht,1
rihtaere,1
psalmista,1
wilde,1
Philon,1
Ammirat,1
kint,1
Denis,1
Alexander,1
milte,1
Garpîn,1
gegen,1
Witel,1
Arthan,1
Tortan,1
Orte,1
Maximîn,1
Marcelle,1
dienestman,1
Waldram,1
küniclîn,1
Muralan,1
Prutan,1
Luzifer,1
Nêre,1
Pandolt,1
Martian,1
Nerpa,1
bíderbe,1
Regenfrit,1
Hillung,1
Vastmar,1
Witrant,1
Otnant,1
Pillung,1
Sigebant,1
küene,1
Scarpulôn,1
Antoîr,1
Gwimut,1
genôz,1
Kartan,1
Malsarôn,1
Torke,1
Estorke,1
Justîn,1
Sigelot,1
Spemvalrîz,1
muoter,1
beste,1
Urtanne,1
Pharao,1
Thibors,1
grunt,1
Alfabîn,1
gimme,1
Laurentius,1
künne,1
Falbin,1
Ebelin,1
Degiôn,1
Jorfalir,1
Algarich,1
schalc,1
tân,1
urkünde,1
Aegidius,1
lêraere,1
regenhêrre,1
Blasius,1
Abraham,1
Gabriel,1
Raphael,1
Josua,1
Iclarions,1
Clariens,1
Maltrens,1
Geneasin,1
Wineman,1
ander,1
Rapoto,1
Wate,1
Nevelun,1
grimmec,1
Argun,1
Jonas,1
wîssage,1
Curlenes,1
Clapamorses,1
Kanabeus,1
Daniel,1
Antel,1
Ansgis,1
Amhoch,1
kempfe,1
Romanus,1
mâc,1
Golitath,1
Saul,1
Franke,1
Dionysius,1
phaffe,1
Konrad,1
