Wert,Anzahl
von,51
liep,29
sancte,24
heilec,22
al,21
got,13
wâr,13
vil,12
hêr,11
guot,11
himelisch,10
küene,8
snël,8
maere,8
ungetriuwe,7
alt,6
edel,6
Beiern,6
tiure,6
himel,5
künic,4
ober,4
dienest,4
roemesch,4
rîche,4
genaedec,4
reinec,4
dinc,3
tiurlich,3
rëhte,3
Rôm,3
arm,3
vâlant,3
wol,2
keiser,2
drî,2
Basken,2
Reims,2
witewe,2
weise,2
wîs,2
übel,2
Ampelgart,2
Tortosa,2
heidenisch,2
Roslin,2
dritte,2
maget,2
Paligân,2
heiden,2
vermëzzen,1
wider,1
Parguel,1
warte,1
lëbendec,1
sëlbic,1
mit,1
bart,1
Tene-marke,1
Albonie,1
Avon,1
Tortona,1
Garmes,1
Aschalpems,1
Bretagne,1
grunt,1
kristenheit,1
arbeit,1
geloube,1
swëster,1
lützel,1
britten,1
virwiz,1
Pande,1
Wlter,1
Zammen,1
Horre,1
balt,1
bíderbe,1
entrinnen,1
junc,1
Balvier,1
starc,1
Sevilla,1
wunderlich,1
êwic,1
Almeria,1
Agrigent,1
Viana,1
mortgiric,1
Valterne,1
Dagsburg,1
Normandie,1
ganz,1
Ire,1
ûz,1
Spanien,1
Afrika,1
Kappadokien,1
hêrlich,1
Valtia,1
Saragossa,1
in,1
helle,1
Genelûn,1
gesunt,1
waltendic,1
Karlinge,1
durch,1
sieden,1
rîtaere,1
erweln,1
Pelmo,1
Marsilie,1
ziere,1
Krist,1
tugent,1
allerliebest,1
under,1
regenhêrre,1
algewaltec,1
übermüete,1
der,1
walten,1
über,1
Sutri,1
Pettau,1
Ninive,1
grimmec,1
wunderküene,1
beierisch,1
veige,1
boese,1
schoene,1
gesëgenen,1
Engel,1
nâhe,1
gebërn,1
winnec,1
kunnen,1
zëchen,1
vîant,1
