Token;Target count;Reference count;Keyness;Polarity
Paris;313;0;2098.04;positive
jungelinc;52;88;108.24;negative
künic;3;468;106.95;negative
knabe;19;11;73.75;positive
kint;21;35;44.28;negative
gast;18;26;42.5;negative
hirte;6;0;40.22;positive
knappe;11;9;36.7;positive
knëht;8;7;25.8;positive
kindelîn;7;6;22.82;positive
junchêrre;14;32;21.8;negative
knebelîn;4;1;19.89;positive
ûzerwelt;2;0;13.41;positive
helt;6;156;12.58;negative
tugentbaere;5;9;9.86;negative
sun;1;59;9.58;negative
süeze;4;6;9.18;negative
bedâht;1;0;6.7;positive
hërzevriunt;1;0;6.7;positive
minnediep;1;0;6.7;positive
widersache;1;0;6.7;positive
hovebaere;2;2;6.0;neutral
bruoder;14;68;5.94;negative
junge;4;11;4.99;negative
ziere;2;3;4.59;negative
