Token;Target count;Reference count;Keyness;Polarity
hövesch;10;6;37.85;positive
niuweborn;3;0;19.97;positive
süeze;10;19;18.42;negative
geborn;2;0;13.31;positive
kleine;2;0;13.31;positive
von;3;105;12.18;negative
vremde;3;3;8.88;neutral
gereinen;2;1;8.11;positive
minnesiech;2;1;8.11;positive
sô;2;1;8.11;positive
wünnevar;3;4;7.39;negative
rîche;1;48;7.09;negative
vil;22;117;6.67;negative
adellich;1;0;6.66;positive
eigenlich;1;0;6.66;positive
hôchgenant;1;0;6.66;positive
nideren;1;0;6.66;positive
sache;1;0;6.66;positive
swach;1;0;6.66;positive
volkomen;1;0;6.66;positive
wandelbaere;1;0;6.66;positive
wandelvrî;1;0;6.66;positive
wünnebaere;2;2;5.92;neutral
wol;6;20;5.47;negative
getriuwe;7;26;5.26;negative
wîs;1;39;4.96;negative
junc;7;29;4.21;negative
