Token;Target count;Reference count;Keyness;Polarity
Paris;313;0;2094.1;positive
künic;3;488;113.17;negative
jungelinc;52;88;107.71;negative
knabe;19;11;73.52;positive
kint;21;35;44.06;negative
gast;18;26;42.31;negative
hövesch;11;7;40.98;positive
hirte;6;0;40.14;positive
knappe;11;9;36.57;positive
süeze;14;25;27.68;negative
knëht;8;7;25.71;positive
kindelîn;7;6;22.74;positive
junchêrre;14;32;21.67;negative
niuweborn;3;0;20.07;positive
knebelîn;4;1;19.84;positive
geborn;2;0;13.38;positive
helt;6;156;12.72;negative
von;3;105;11.9;negative
tugentbaere;7;16;10.83;negative
sun;1;59;9.65;negative
vremde;3;3;8.97;neutral
minnesiech;2;1;8.17;positive
sô;2;1;8.17;positive
wîs;1;52;7.92;negative
wünnevar;3;4;7.47;negative
rîche;1;50;7.43;negative
vil;22;117;6.97;negative
adellich;1;0;6.69;positive
eigenlich;1;0;6.69;positive
hërzevriunt;1;0;6.69;positive
hôchgenant;1;0;6.69;positive
minnediep;1;0;6.69;positive
nideren;1;0;6.69;positive
sache;1;0;6.69;positive
swach;1;0;6.69;positive
volkomen;1;0;6.69;positive
wandelbaere;1;0;6.69;positive
wandelvrî;1;0;6.69;positive
widersache;1;0;6.69;positive
hôchgeborn;16;78;6.62;negative
hovebaere;2;2;5.98;neutral
wol;6;20;5.59;negative
junge;4;11;4.95;negative
bruoder;14;73;4.73;negative
schoene;3;69;4.71;negative
junc;7;29;4.33;negative
