Token;Target count;Reference count;Keyness;Polarity
Eneas;15;421;1458.84;negative
Hector;262;2;201.95;positive
Paris;313;8;195.55;positive
Achilles;202;1;161.54;positive
maere;11;57;143.99;negative
hêrre;248;218;132.9;positive
wërt;200;4;132.85;positive
Priamus;194;4;127.97;positive
Pallas;29;62;101.57;negative
Jason;106;0;92.29;positive
hôchgeborn;94;0;81.84;positive
klâr;87;0;75.75;positive
Helena;122;4;70.57;positive
vrouwe;221;157;61.53;positive
rîche;51;62;60.61;negative
vil;139;9;58.08;positive
got;134;9;54.65;positive
von;108;5;54.35;positive
hôch;58;0;50.5;positive
Schiron;56;0;48.76;positive
rîtaere;92;5;42.68;positive
jungelinc;140;14;40.87;positive
kint;56;1;38.11;positive
tohter;45;47;37.68;negative
Deidamie;42;0;36.57;positive
wünneclich;42;0;36.57;positive
edel;32;38;36.1;negative
bruoder;87;6;34.84;positive
ellentrîche;40;0;34.83;positive
getriuwe;39;0;33.96;positive
süeze;39;0;33.96;positive
Lamedon;37;0;32.21;positive
Thelamon;37;0;32.21;positive
staete;36;0;31.34;positive
ûzerwelt;36;0;31.34;positive
Cupido;1;10;30.02;negative
Peleus;34;0;29.6;positive
Jupiter;33;0;28.73;positive
Thetis;33;0;28.73;positive
erweln;33;0;28.73;positive
minneclich;32;0;27.86;positive
sëlp;51;2;27.59;positive
vruht;31;0;26.99;positive
Medea;30;0;26.12;positive
Pollidamas;30;0;26.12;positive
knabe;30;0;26.12;positive
sun;60;49;26.04;positive
Troilus;41;1;25.94;positive
Agamennon;28;0;24.38;positive
saelec;39;1;24.34;positive
balt;6;14;24.31;negative
reine;53;3;24.03;positive
Hercules;58;4;23.23;positive
Castor;26;0;22.64;positive
juncvrouwe;18;22;21.64;negative
tugentbaere;23;0;20.02;positive
guot;57;5;18.88;positive
künic;491;122;18.36;positive
Diomedes;20;0;17.41;positive
Nestor;20;0;17.41;positive
art;20;0;17.41;positive
knappe;20;0;17.41;positive
wirt;37;2;17.22;positive
swëster;17;19;16.71;negative
Licomedes;19;0;16.54;positive
tugentrîche;19;0;16.54;positive
wandel;19;0;16.54;positive
Patroklos;17;0;14.8;positive
Pollux;17;0;14.8;positive
keiserlich;17;0;14.8;positive
vriunt;64;8;14.31;positive
lobesam;16;0;13.93;positive
Esiona;15;0;13.06;positive
Merion;15;0;13.06;positive
ein;15;0;13.06;positive
gemuot;15;0;13.06;positive
junge;15;0;13.06;positive
wünnebaere;15;0;13.06;positive
ûzerkorn;15;0;13.06;positive
liep;35;27;12.77;positive
junchêrre;46;5;12.26;positive
Deifebus;14;0;12.19;positive
ellenthaft;14;0;12.19;positive
lobelich;14;0;12.19;positive
maget;58;38;12.05;positive
Venus;48;33;11.91;positive
vrî;23;1;11.91;positive
Cassibilan;13;0;11.32;positive
Dianira;13;0;11.32;positive
al;13;0;11.32;positive
glanz;13;0;11.32;positive
kindelîn;13;0;11.32;positive
ûz;13;0;11.32;positive
küniginne;152;32;11.25;positive
trût;22;1;11.17;positive
gast;44;5;11.12;positive
helt;162;83;10.63;positive
Prothenor;12;0;10.45;positive
Theseus;12;0;10.45;positive
bote;12;0;10.45;positive
vrëch;12;0;10.45;positive
alt;11;12;10.22;negative
Alin;11;0;9.58;positive
Ascalafus;11;0;9.58;positive
Ecuba;11;0;9.58;positive
