Token;Count
Paris;559
Achilles;460
Hector;365
Priamus;353
Helena;279
Jason;261
Deidamie;209
Medea;178
Thetis;128
Menelaus;117
Hercules;99
Gott (christlich);94
Schiron;81
Peleus;72
Lamedon;72
Venus;69
Licomedes;67
Agamennon;60
Ulixes;60
Jupiter;55
Troilus;53
Oetas;52
Esiona;45
Thelamon;44
Dianira;41
Pollidamas;39
Pallas;36
Ajax;36
Effigennia;35
Hecuba;32
Castor;31
Juno;30
Patroklos;29
Nestor;29
Eson;28
Diomedes;27
Prothenor;25
Remus;25
Diana;24
Antenor;23
Theseus;22
Deifebus;21
Protheselaus;21
Cassilian;20
Pollux;19
Calcas;19
Merion;18
Menesteus;18
Cassandra;17
Palomides;17
Eneas;16
Effimenis;14
Egenoe;13
Margariton;13
Iole;13
Alin;12
Pirrus;12
Perseus;12
Anthilion;12
Panfilot;12
Nessus;12
Protheus;11
Ascalafus;11
Epistros;11
Helenus;10
Discordia;10
Archelaus;10
Filothetis;10
Panfimeiz;10
Neptun;9
Polixina;9
Rodomolus;9
Litas;9
Dares;8
Apollo;8
Bacchus;8
Greusa;8
Hupolt;8
Dolostalus;8
Eliachim;7
Filithoas;7
Lifronis;7
Agirtes;7
Euritus;7
Mars;6
Amantris;6
Prethemesus;6
Estreus;6
Cardes;6
Pollixenon;6
Merein;6
Merkur;5
Salomon;5
Panthus;5
Dorion;5
Santippus;5
Anachel;5
Urgenius;5
Panfilias;5
Pandalus;5
Archilogus;5
Panthelamon;5
Epistroples;5
Cupesus;5
Esdras;5
Anthonie/ Anthonius;5
Sinfiliens/ Simpfiliens;5
Parcilot;5
Fortuna;4
Cedar;4
Eufebius;4
Toas;4
Ajax, der kleine;4
Emelius;4
Leopolis;4
Accapador;4
Cursalion;4
Margalius;4
Floranz;4
Sarpedon;4
Samiledech;4
Florminius;4
Aggalon;4
Pictagoras;4
Agrimanz;4
Dolunt;4
Quintiliens;4
Cappadon;4
Isolaus;4
Poestes;4
Cupido;3
Isolde;3
Tristan;3
Amfimachus;3
Prothacus;3
Euripilus;3
Boriolus;3
Lerant;3
Cursabre;3
Margalin;3
Alchimeliar;3
Pelagrin;3
Aureliant;3
Olifranz;3
Glaukun;3
Misereiz;3
Amfileus;3
Ipomenes;3
Achimanis;3
Ascalun;3
Pelimatreis;3
Donosdaron;3
Emineus;2
David;2
Tisbe;2
Vulcan;2
Argus;2
Hekate;2
Andrimacha;2
Alexander;2
Saturn;2
Cedius;2
Pollixinart;2
Cileus;2
Machaon;2
Leverzins;2
Polipetes;2
Decipeneus;2
Manbri;2
Achel;2
Colebrant;2
Sareht;2
Adrastus;2
Flordimander;2
Fürsilyon;2
Palimunder;2
Esoras;2
Clarencius;2
Achalmus;2
Sarsencius;2
Alchamis;2
Filion;2
Edron;2
Dinodaron;2
Odonie;2
Schelopfis;2
Delonis;2
Urielus/ Uriolus;2
Anfelis;2
Gillebert;2
Flordigan;2
Panfigal;2
Carsilot;2
Amigdalur;2
Pliader;2
Cacudeiz;2
Ekubert;2
Plurimanz;2
Ascalinor;2
Perfigal;2
Andromache;2
Laurelian;2
Dietrich von Basel;1
Konrad von Würzburg;1
Christus;1
Ceres;1
Adam;1
Samson;1
Blanscheflur;1
Riwalin;1
Piramus;1
Phyllis;1
Demophon;1
Alcmene;1
Ethra;1
Esipfile;1
Adriagne;1
Athene;1
Urian;1
Panfileiz;1
Doglas;1
Olifrant;1
Portilagrin;1
Partilagrin;1
Brandilogus;1
Ambrius;1
Josuel;1
Bedevart;1
Pamphilomis;1
Amakun;1
Choralius;1
Malatris;1
Gormigdalus;1
Gurdimalander;1
Tanchrete;1
Ilatrun;1
Pristalun;1
Lippatreiz;1
Agulant;1
Cursilabre;1
Emargalun;1
Porfiliar;1
Hiltebort;1
Pelifrant;1
Elichar;1
Efranes;1
Ebruin;1
Protheis;1
Anfimachus;1
Limacris;1
