Wert,Anzahl
künic,472
Paris,314
Hector,262
hêrre,248
vrouwe,219
Achilles,201
Priamus,175
helt,162
vater,153
küniginne,152
jungelinc,140
got,131
Helena,122
man,115
Jason,106
rîtaere,92
wîp,83
bruoder,83
vriunt,64
sun,60
maget,58
Hercules,58
muoter,57
kint,56
Schiron,56
klâr,53
Menelaus,51
Venus,48
dëgen,47
junchêrre,46
gast,44
tohter,44
vürste,42
Deidamie,42
Troilus,41
Ulixes,40
schoene,37
Lamedon,37
Thelamon,35
Thetis,34
Peleus,34
Jupiter,33
wirt,33
grâve,33
guot,32
meister,32
vruht,31
knabe,30
Medea,30
Pollidamas,30
Pallas,29
küene,29
Agamennon,28
gotinne,27
Juno,26
Castor,26
geselle,24
herzoge,21
knappe,20
Nestor,20
Diomedes,20
Licomedes,19
hôchgeborn,18
juncvrouwe,18
staete,17
wîssage,17
Patroklos,17
Pollux,17
Merion,16
Remus,16
junge,15
knëht,15
minneclich,15
tugentbaere,15
Esiona,15
Eneas,15
sëlp,14
reine,14
Deifebus,14
kindelîn,13
swëster,13
wîse,13
ander,13
ein,13
Cassibilan,13
Dianira,13
bote,12
Theseus,12
Prothenor,12
Ecuba,11
vrî,11
maere,11
wunnebaere,11
Antenor,11
Ascalafus,11
Ajax,11
stark,11
Alin,11
Perseus,11
süeze,10
wërt,10
gespil,10
trûtgeselle,10
Protheselaus,10
Palomides,10
bar,9
nëve,9
Archelaus,9
Effimenis,9
Epistros,9
Diana,8
Cassandra,8
meisterinne,8
vetere,8
arm,8
Filothetis,8
Menesteus,8
Iole,8
Helenus,7
Discordia,7
edel,7
mâc,7
Jocundille,7
Calcas,7
Panfimeiz,7
hirte,6
amîs,6
milte,6
getriuwe,6
saelec,6
Polixina,6
trûtgespil,6
dritte,6
Apollo,6
Margariton,6
Hupolt,6
Rodomolus,6
Anthilion,6
Nessus,6
Licas,6
knebelîn,5
Egenoe,5
Mars,5
Salomon,5
gehiure,5
betschelier,5
Protheus,5
wünneclich,5
Esôn,5
voget,5
ziere,5
base,5
amiral,5
Lifronis,5
Estreus,5
Prethemesus,5
Dolostalus,5
snëlle,5
èllentrîche,5
wunt,5
brût,4
Bacchus,4
hovebaere,4
Fortuna,4
swëher,4
kempfe,4
prophête,4
genaeme,4
Oetas,4
houbetman,4
Dares,4
ellentrîche,4
lobesam,4
Amfimachus,4
Thoas,4
kleine,4
Santippus,4
Urgenius,4
Neptun,4
Aggalon,4
Cupesus,4
vierde,4
Filithoas,4
markîs,4
trût,4
Isôte,3
Tristan,3
wolgesite,3
kampfgenôz,3
briutegome,3
lîp,3
blunt,3
Krieche,3
Pantus,3
hôch,3
gereinen,3
Cursalion,3
Anachel,3
Margalius,3
Floranz,3
Amantris,3
Effigennia,3
Panfilias,3
Archilogus,3
Pelagrin,3
Panthelamon,3
strîtbaere,3
gemuot,3
Misereiz,3
Esdras,3
Cardes,3
Agrimanz,3
Anthonius,3
Quintiliens,3
Pollixenon,3
Dorion,3
Merkur,2
balt,2
David,2
amîe,2
vrum,2
âne,2
lûter,2
siech,2
Greusa,2
hôchgemuot,2
Cedar,2
Eliachim,2
oeheim,2
Alexander,2
kiusche,2
tugentrîche,2
lîhte,2
hövesch,2
rîche,2
glanz,2
hërzebluot,2
ûzerwelt,2
zart,2
Athêne,2
Cedius,2
Emelius,2
barûn,2
Prothacus,2
Leopolis,2
Euripilus,2
Polipetes,2
Boriolus,2
Decipeneus,2
Accapador,2
Manbri,2
Achel,2
Lerant,2
Cursabre,2
Sareht,2
Sarpedon,2
Samiledech,2
heiden,2
bâbes,2
Adrastus,2
Flordimander,2
Fursilion,2
Palimunder,2
Pandalus,2
Margalin,2
Alchimeliar,2
Florminius,2
Aureliant,2
Esoras,2
Olifranz,2
Clarencius,2
Achalmus,2
alt,2
Agirtes,2
busînaere,2
Pirrus,2
Alchamis,2
Pictagoras,2
vünfte,2
dienestman,2
Leverzins,2
Edron,2
Dolunt,2
Scelophis,2
Amfileus,2
Ipomenes,2
Delonis,2
Cappadon,2
Parcilôt,2
Ascalun,2
Mensteus,2
phalenzgrâve,2
widersache,2
schenke,2
Ascalinor,2
Donosdaron,2
Simpfiliens,2
Andromache,2
behende,2
tôt,2
