Token;Count
wërt;190
vil;139
von;108
hôchgeborn;76
hôch;55
rîche;49
wîs;40
reine;39
wünneclich;37
sëlp;37
junc;36
schoene;35
liep;35
küene;35
ûzerwelt;34
klâr;34
erweln;33
getriuwe;33
saelec;33
ellentrîche;31
süeze;29
wol;26
edel;25
guot;25
art;20
künic;20
wandel;19
staete;19
Priamus;19
trût;18
starc;18
keiserlich;17
tugentrîche;17
minneclich;17
hövesch;16
ûzerkorn;15
lobelich;14
ûz;13
al;13
hêr;13
ellenthaft;13
wolgetân;12
stolz;12
minne;12
gemuot;12
lobesam;12
vrî;12
glanz;11
vrëch;11
küniclich;9
Krieche;9
tugentbaere;9
hôchgelobet;9
hërzeliep;9
alt;9
wolgestalt;8
tugenthaft;8
wünnevar;7
ûzgenomen;7
tump;6
hôchgemuot;6
ander;6
vremde;6
unverzaget;6
êlich;6
bíderbe;6
arm;6
lûter;6
Kriechenlant;5
bruoder;5
gar;5
ûzerlësen;5
kür;5
wirt;4
gemeit;4
kunst;4
lant;4
liutsaelec;4
balt;4
gehiure;4
alsô;4
genomen;4
wünnebaere;4
tugent;4
zuht;4
wolgesite;4
swëster;4
kiusche;4
milte;4
niuweborn;3
sô;3
fîn;3
hërze;3
wilde;3
wine;3
Troja;3
bescheiden;3
gereinen;3
ziere;3
lîp;3
rîchelich;3
strit;3
geburt;3
ungetriuwe;3
vol;3
senende;3
wunt;3
minnesiech;3
vrüetic;3
dritte;3
minnesam;3
Norwegen;3
Portugal;3
versunnen;3
edelecheit;2
kleine;2
geborn;2
wîsheit;2
übel;2
hof;2
jâr;2
lieht;2
blunt;2
getân;2
künsterîch;2
besunder;2
getürstec;2
waehe;2
erkorn;2
gevar;2
triuwelôs;2
obe;2
got;2
tugendeveste;2
unbekant;2
missewende;2
saelde;2
wünnesam;2
ze;2
minnevar;2
vrouwe;2
erkennen;2
valsch;2
Thelamon;2
Calcidon;2
Ungerlant;2
Dänemark;2
Schotten;2
Kerlingaere;2
in;2
mer;2
Babilôn;2
Lauconie;2
Baldac;2
Persia;2
Medien;2
Barbari;2
Jerusalêm;2
Aggaron;2
Pôre;2
India;2
Celonia;2
Grossia;2
snëlle;2
Sparte;2
kürlich;2
ellende;2
ein;2
Spangen;2
tôtwunt;2
einec;2
eigenlich;1
wandelvrî;1
adellich;1
sê;1
nideren;1
swach;1
hort;1
hôchzît;1
gezogen;1
tohter;1
hôchgenant;1
wandelbaere;1
sache;1
volkomen;1
Achilles;1
muot;1
listec;1
quëc;1
ungemeit;1
sinnelôs;1
vrîlich;1
vrô;1
gesitet;1
vermëzzen;1
wunderlich;1
ëber;1
strîtec;1
gelêret;1
bedâht;1
unversunnen;1
wîp;1
vrum;1
blanc;1
sûberlich;1
kluoc;1
spaehe;1
hovelich;1
minnenwunt;1
lîhte;1
êrste;1
gestalt;1
bloede;1
sinnerîche;1
listebaere;1
sanft;1
lëbende;1
spiegel;1
manec;1
krône;1
schaz;1
phlëgen;1
ursprunc;1
geloben;1
saeldelôs;1
almehtec;1
Kolco;1
Boeze;1
Cretenlant;1
Melibe;1
gewaltec;1
wëter;1
tier;1
küniginne;1
Schaldei;1
vürste;1
schadebaere;1
wîte;1
hërzesüeze;1
jâmerhaft;1
sin;1
unwandelbaere;1
kraft;1
an;1
ahtode;1
niunde;1
strîtgërnde;1
geprîsen;1
adelbaere;1
aus;1
Clerimanz;1
Tire;1
Athêne;1
Cluris;1
Alitrieht;1
rote;1
Blez;1
Agrippe;1
Canfelingen;1
rîterlich;1
wër;1
Pile;1
Clarion;1
Cloramir;1
wacker;1
lûterbaere;1
Trase;1
Atamun;1
ungesunt;1
hôchgeprîsen;1
Palfigane;1
Licia;1
heiden;1
Arabe;1
Caldeie;1
Cumenie;1
Tholie;1
Tracia;1
Tigerlant;1
Thelaneis;1
bar;1
Engellant;1
Agrimonis;1
base;1
hërzetrût;1
grîs;1
geblüemen;1
mit;1
hoene;1
raeze;1
erbermelîche;1
dicke;1
unsaeldehaft;1
mortgîtec;1
tôt;1
versêren;1
