Token;Count
vil;22
wërt;17
hôchgeborn;12
süeze;10
hövesch;10
junc;7
getriuwe;7
wünneclich;6
erweln;6
wol;6
ûzerwelt;4
saelec;4
sëlp;3
niuweborn;3
von;3
hôch;3
klâr;3
schoene;3
stolz;3
wünnevar;3
gemuot;3
reine;3
liep;3
vremde;3
sô;2
kleine;2
edel;2
art;2
geborn;2
wandel;2
staete;2
gereinen;2
tugentbaere;2
wünnebaere;2
guot;2
ûzerkorn;2
tugentrîche;2
minnesiech;2
hôchgelobet;2
küene;2
eigenlich;1
küniclich;1
wandelvrî;1
edelecheit;1
adellich;1
glanz;1
nideren;1
swach;1
jâr;1
wîs;1
liutsaelec;1
tump;1
hôchgemuot;1
wolgetân;1
hôchgenant;1
wandelbaere;1
sache;1
getân;1
volkomen;1
wilde;1
tugent;1
alsô;1
al;1
wünnesam;1
rîche;1
hêr;1
gehiure;1
unbekant;1
lobesam;1
ûz;1
trût;1
vrëch;1
ellenthaft;1
