Token;Count
Paris;313
jungelinc;52
hêrre;22
kint;21
knabe;19
gast;18
junchêrre;14
bruoder;14
man;14
knappe;11
knëht;8
kindelîn;7
dëgen;7
vriunt;7
hirte;6
klâr;6
helt;6
rîtaere;6
tugentbaere;5
knebelîn;4
junge;4
süeze;4
hôchgeborn;4
geselle;4
vruht;3
künic;3
hovebaere;2
vrî;2
guot;2
wërt;2
ûzerwelt;2
ziere;2
milte;2
küene;2
ellentrîche;2
minnediep;1
hërzevriunt;1
wolgesite;1
staete;1
lîp;1
bar;1
sun;1
vünfte;1
houbetman;1
edel;1
hövesch;1
hôch;1
genaeme;1
saelec;1
lobesam;1
bedâht;1
widersache;1
amîs;1
